Transporter,Address,Numbers,Contact Person
MANOJ CARGO CARRIERS,"195. 4th cross lalbagh road khadar sharif garden , bangalore","Contact No : 9844059022, 22238799, 22271337,",Contact Person : p.r. prasad
SSP CRANES,"2nd cross- hoodi circle�white field- bangalore -560048 , bangalore","Contact No : 9980338469, ,",Contact Person : mani
TRICE SHIPPING AGENCY PVT. LTD.,"2468- 1st floor- 2nd cross hal 3rd stage- bda layout konena agrahara- bangalore , bangalore","Contact No : 8025216425, ,",Contact Person : NULL
AJANTA ROADLINES(REGD.),"13- lst cross s.g. narayana layout lalbag road banglore , bangalore","Contact No : , 080, 22240422, 22274350, 22275829,",Contact Person : m.l. agarwal
CHUGALE ROADLINES,"bylappa building opp. nandgir school 19th k.m. tumkur road madavara post , bangalore","Contact No : 9886115860, 32483802,",Contact Person : raghunath
EASIUP RENTALS PVT. LTD.,"no. 156- amirtha college road- kesavanhalli- bengaluru - 560037- karnataka , bangalore","Contact No : , 44, 27214152,",Contact Person : mr. sathiya
SRI LAKSHMI ENTERPRISES,"27- 2nd main chennai road ulsor , bangalore","Contact No : 9448047934, 25300214,",Contact Person : s.k ramesh
SAPTHGIRI ENTERPRISES,"146-� kodlu village�madivala- bangalore -560068 , bangalore","Contact No : 9741444477, 9900269399, ,",Contact Person : manjunath
NEST PACKERS & MOVERS,"bangalore , bangalore","Contact No : 9379370385, ,",Contact Person : NULL
AGARWAL DOMESTIC PACKERS & MOVERS,"11. 2nd cross sgn- layout lalbag , bangalore","Contact No : 9343757047, 22124041,",Contact Person : NULL
ECONOMIC TRANSPORT ORGANISATION LIMITED,"70/1- mission road , bangalore","Contact No : 8431924777, 22223778,",Contact Person : s. k. pushp
SKYWIN LOGISTICS,"no-60- yashwanthpur- banglore , bangalore","Contact No : 9448389226, ,",Contact Person : NULL
SKS TRAMSPORT,"11/1 4th main road new tharugpet bangalore , bangalore","Contact No : 9343999929, 9343999919,",Contact Person : khamruddin
H.R.S. PACKER & MOVERS,"26-27- pep bhawan sidhhaiah road , bangalore","Contact No : 9900001157, ,",Contact Person : yogesh kumar
A TO Z LOGISTICS PVT LTD.,"no. 948- 1st floor� hoodi�mahadevapura- bangalore -560041 , bangalore","Contact No : , ,",Contact Person : NULL
CASTEL PACKER & MOVERS,"32- lst floor 4th cross lalbag road k.s. garden , bangalore","Contact No : 9845072411, ,",Contact Person : hari shing
AGARWAL EXPRESS LOGISTICS PVT.LTD.,"d-102- dduttl 2nd stage yeswanthpur , bangalore","Contact No : 8971158971, 41756285,",Contact Person : vikram singh
SMT TRANSPORT,"no. 947� hoody rajpalya- mahadevapura post�white field- bangalore -560048 , bangalore","Contact No : 9845013516, 080 , 28412709, 080 , 28411560, 080 , 28453447,",Contact Person : narayanan
OM SHAKTHI CRANES,"no. 40- 7th a cross- 13th main� bommanahalli- bangalore -560068 , bangalore","Contact No : , 80, 66507070, 25726169,",Contact Person : palani
ANJANI PACKERS & MOVERS,"mukesh complex off ser godwon tukur road main halli , bangalore","Contact No : 9945362090, ,",Contact Person : raj kumar jangra
SRI MANJUNATHAN CARGO MOVERS,"no. 10� 4th cross�kalasipalayam new extension- bangalore -560002 , bangalore","Contact No : , 080 , 22247543, 080 , 22294543,",Contact Person : manjunath
GLOBAL RELOCATION,"126- dduttl kanterwa studio main road yeswanthpur banglore , bangalore","Contact No : 9343183407, 32219247,",Contact Person : arjun singh
VIJAYMANGALA LOGISTICS,"b-177- dduttl yeshwanthpur ind. suburb. 2nd stage banglore , bangalore","Contact No : 9844005932, 23574541,",Contact Person : jagdish prabhu
AGARWAL INDIA PACKERS AND MOVERS,"16- 6th cross - h. siddaiah road opp. srmt transport bangalore , bangalore","Contact No : 9379215751, 41266993,",Contact Person : hari shing
B G SHIRKE CONSTRUCTION TECHNOLOGY PVT. LTD.,"no. 303 & 304- 3rd floor- 135 brigade towers- brigade road- bengaluru - 560025- karnataka , bangalore","Contact No : 9845011111, 80, 22277360, 22277361,",Contact Person : mr. narakeseri
SRI MALAI MAHADESHWARA TRANSPORT,"d-72- dduttl- 2nd stage yeshwanthpur bangalore , bangalore","Contact No : 9900117813, 41901491,",Contact Person : mahesh m
IDBI FEDERAL LIFE INSURACE CO. LTD.,"old no. 153- new no. 3- 6th main- opp. to traffic police station- jaynagar- bengaluru - 560011- karnataka , bangalore","Contact No : 9620111266, 11, 42712999,",Contact Person : mr. bharathi rao
DEEPA ROADLINES PVT. LTD.,"01a-site no.150-banglor , bangalore","Contact No : 9341262826, 08023711588,",Contact Person : g.venkatesh
3T TOOL TECH,"312- 4th cross- rajgopal nagar- 2nd phase- banglore , bangalore","Contact No : 9916074975, ,",Contact Person : mr moorthly
MAA ANNAPURNA TRANSPORT AGENCY LTD,"no.8-8th cross h siddiah road bangalore -560027 , bangalore","Contact No : 7483033044, 08022291730,",Contact Person : s k sultania
JAI BHARAT ROADLINES,"plot no. 107� 4th cross- jc road�kalasipalayam new extension- bangalore -560002 , bangalore","Contact No : 9448387118, 080 , 22277118,",Contact Person : v. nagaraj
STAFFORD CRANE GROUP,"jayanager- bengaluru - 560069- karnataka , bangalore","Contact No : 9591046187, ,",Contact Person : mr. syed moin
A ONE POOJA PACKERS & MOVERS,"no. b163� dduttl industrial suburb- 3rd main yeswanthpur- bangalore -560022 , bangalore","Contact No : 9342777288, 080 , 41224989, 080 , 32912430, 080 , 23470794,",Contact Person : dalvir
INDIA FIRST LIFE INSURANCE,"3rd floor- professional court- 3rd block- jaya nagar- bengaluru - 560011- karnataka , bangalore","Contact No : 9343806021, ,",Contact Person : mr. mohan p . p.
ALL INDIA FAST CARRIERS,"21/1- a.3rd floor opp. k.g.t.a. dr- devraj urs truck terminal yeshwanthpur , bangalore","Contact No : 9394016044, , 9394016044",Contact Person : mr. l.d.jangir
NATIONAL CARGO MOVERS PVT LTD,"badnayakhalli-neelmangala-bangaloe , bangalore","Contact No : 8884880004, , 8884880004",Contact Person : navneeth jangir
SKYWING PACKERS & MOVERS�,"8/1- ground floor 4th cross old madiwala b.t.m. lst stage opp. netharvathi bar , bangalore","Contact No : 9845467510, 32978904,",Contact Person : dalveer sharma
BHARDWAJ CARRIERS,"kranataka , bangalore","Contact No : 9910005989, 27762399, 32222899,",Contact Person : NULL
SREE GANESH PACKERS & MOVERS,"bangalore , bangalore","Contact No : 9632999855, 32468859,",Contact Person : NULL
SOUTH LEO PACKER & MOVERS,"d-191- dduttl- 2nd stage near kanterwa studio yeshwanthpur , bangalore","Contact No : 9341301214, 32935821,",Contact Person : kishan sharma
ASSOCIATED ROAD CARRIERS LTD,"no-374&375- munishamappa building- manasandra yelahanka- doddaballapur- banglore , bangalore","Contact No : 9341808811, 080, 32429594, 28464953,",Contact Person : mr mandal
UNISON INSURANCE PVT. LTD.,"no.-11 niton building- palace road- bengaluru - 560042- karnataka , bangalore","Contact No : 9880012472, ,",Contact Person : mr. k. lakshminarayanan
VINAY PACKERS & MOVERS,"20/2. fazal e-salar complex- 2nd main road kalsipalyam new extn. , bangalore","Contact No : 9844259318, 080, 22916088,",Contact Person : vinay
SRI LINGESHWARAA TRANSPORT,"b-191- lst floor devraj urs truck terminal 2nd stage industrial suburb opp. kanterwa studio yeshwanthpur , bangalore","Contact No : 9986659147, 41221642, 41221641,",Contact Person : e. rangaswamy
ICICI LOMBARD GENERAL INSURANCE CO. LTD,"2nd floor- prestige corniche- richmond town- near lifestyle showrooms- bengaluru - 560025- karnataka , bangalore","Contact No : 9886216989, ,",Contact Person : mr. mahesh guddapurmath
K.E.M. CARGO MOVERS (BNG),"no.43/3- ramanna building 18th km. tumkur road madanayakanahalli madvara , bangalore","Contact No : 9611749063, 32484252,",Contact Person : farooq ashok kumar
BHAGWI GOLDEN TRANSPORT COMPANY,"106-107- 18th k.m. tumkur road opp. tci bus stop. banglore , bangalore","Contact No : 9341559599, 32529599, 9342059599",Contact Person : satveer singh
LIFT N SIFT PACKERS & MOVERS,"market b/h- 55 wrd of 15th cross willson garden , bangalore","Contact No : 9845346818, 22575288,",Contact Person : altaf pasha
TIMES PACKERS & MOVERS,"147-� 3rd main- 1st cross indira nagar- bangalore -560038 , bangalore","Contact No : , 080 , 41177887, 080 , 41177887,",Contact Person : ashish singhania
ACE MULTI AXES SYSTEM LIMITED,"site no-17- plot no-467-468-469- survey no-46- 4th phase- peenya industrial are- banglore , bangalore","Contact No : , 080, 28362651, 41171036,",Contact Person : mr gopal
JN ROADLINES,"fc complex� - 1st main road�kalasipalayam new extension- bangalore -560002 , bangalore","Contact No : , 080 , 22238666, 080 , 22918730,",Contact Person : javed
AURO TRANSPORT SERVICE,"c-60- dduttl 2nd floor kanterwa studio main road yeshwanthpur , bangalore","Contact No : 9448456308, ,",Contact Person : uma
INTEGRATED ENTERPRISES (INDIA) LTD.,"door no:- 12- ramana plaza- 5th cross- maleshwaram- bengaluru - 560003- karnataka , bangalore","Contact No : , 80, 23446386, 23361170, 23460815,",Contact Person : mr. vidhynathan
PRESTIGE PACKERS & MOVERS,"183/5- lst cross wilson garden banglore , bangalore","Contact No : 9845398454, ,",Contact Person : NULL
ECONOMIC TRANSPORT ORGANISATION LIMITED,"70/1- mission road , bangalore","Contact No : 8431924777, 22223778,",Contact Person : s. k. pushp
PRERANA MOTORS PVT. LTD.,"no. 11� 5th cross�kalasipalayam new extension- bangalore -560002 , bangalore","Contact No : 9945690535, ,",Contact Person : NULL
INFONET HEALTH & WEALTH SOLUTIONS PVT. LTD.,"no-6- roopa complex- 1st floor- 3rd main chamarajpet- bengaluru - 560018- karnataka , bangalore","Contact No : 9886140412, 80, 22429381,",Contact Person : mr. prahalad vaidya
OCEANUS SHIPPING PVT. LTD.,"12- 1st 'a' main- grass villa- beml township road- g. m. palya- new thippasandra- bangalore , bangalore","Contact No : 9945592154, 080, 422085064,",Contact Person : mr. vinod
OM SHREE SAI PACKERS & MOVERS,"bangalore , bangalore","Contact No : 9845835973, ,",Contact Person : NULL
INDICON ENTERPRISES LIMITED,"no. 87/4- brunton road- thapar niketan- bengaluru - 560025- karnataka , bangalore","Contact No : 9886073040, 080, 41259924,",Contact Person : mr. hemnath
SIDHU TRANSPORT,"21/2- harish compound shop no.1- 18th km. tumkur road madhvara , bangalore","Contact No : 9379012959, 22795351,",Contact Person : rajesh kumar
AUTOMOTIVE MARKETING PVT. LTD.,"plot no. mz/210- 16th cross- 1st main� vishal tower�sampangiram nagar- bangalore -560027 , bangalore","Contact No : 9686132222, ,",Contact Person : yogesh
R.R. ROADWAYS,"d-103- dduttl 8th main industrial suburb 2nd stage yeshwanthpur , bangalore","Contact No : 9448476809, 41228229, 23378099, 32401499,",Contact Person : r.ravichandra
KHUSHI PACKER & MOVERS,"18th. k.m. tumkur road m.n. halli bangalore , bangalore","Contact No : 7259441503, ,",Contact Person : zakir khan
ROYAL FORWARDERS PRIVATE LIMITED,"16 mes colony- konena agrahara- halpost- bangalore , bangalore","Contact No : 8051258577, 51258588,",Contact Person : NULL
OM SHREE PARCEL SERVICE,"141-� 4th block- kh garden wilson garden- bangalore -560027 , bangalore","Contact No : 9448733076, 080 , 22293167,",Contact Person : shanmugam
ANITHA ROADLINES,"b/29- dduttl near kanterwa studio indiestrial suburb yeshwanthpur , bangalore","Contact No : 9449738430, 25572150, 23571342, 41228118, 41228199,",Contact Person : m.r. shekhar
NOVA PACKERS & MOVERS,"1050- 8th- b-- main road hsr leyout 7th sec. koramangala , bangalore","Contact No : 9900000122, 65985991, 25725715,",Contact Person : nand kisor
AEROMAR LOGISTICS INDIA PVT LTD,"no. 198- 3rd floor vinayaka complex - 2nd cross domlur- bangalore , bangalore","Contact No : , 080, 65683108,",Contact Person : mr. dinakar
WEALTH AND RISK MANAGEMENT,"no. 505- 2nd block- 4th main- ravindra nath tagore nagar- bengaluru - 560032- karnataka , bangalore","Contact No : 9341965522, 80, 41697331, 41697332, 4169733,",Contact Person : mr. k. n. chamdramohan
ICI PACKERS & MOVERS,"26/7. 24th main b.t.m layput 2nd stage banglore , bangalore","Contact No : 9945528927, 22111038,",Contact Person : lav kumar
NEHA ROADLINES,"4- dhundusa choultry complex 3rd cross kalsipalyam new extn. , bangalore","Contact No : , 22297589,",Contact Person :
PARADISE PACKERS AND MOVERS,"16/42nd floor lst floor cross- kalasipalyam- new extn. , bangalore","Contact No : 9845529654, 64518889,",Contact Person : manjunath
EXPRESS HOME RELOCATION (REGD.),"b-42- 3rd floor main dduttl yeshwanthpur bangalore , bangalore","Contact No : 9945263151, 080, 32491534,",Contact Person : amit sharma
SRI DEVI CRANE SERVICES,"13/1- a.m. road- kalasipalyam- bengaluru - 560002- karnataka , bangalore","Contact No : , 80, 26700520,",Contact Person : mr. dinesh babu
PRIYANSHU PACKER & MOVERS,"42- snr. complex. 18th km tumkur road , bangalore","Contact No : 9379791010, 32476405,",Contact Person : naveen sharma
SRI SHAKTHI MOBILE CRANE SERVICE,"c-129- d devaraj uras- truck terminal layout- yeshwanthpura inal. suburb- bengaluru - 560022- karnataka , bangalore","Contact No : 9845212622, 80, 23572497,",Contact Person : mr. vinayagam
KALYANI LOGISTICS,"18-d- ll phase ind- area peenya banglore , bangalore","Contact No : 9972483321, 28376787,",Contact Person : ganesh s shetty
OVERSEAS EXPRESS,"58- 2nd floor- 3rd cross- lalbagh road- behind garuda maruti- show room- banglore , bangalore","Contact No : , 080, 40967086, 40912972,",Contact Person : NULL
MANOJ - SEA AIR CARGO SYSTEMS,"21-1st cross- 1st a main- off mission road ground floor - ckc garden residency road- bangalore , bangalore","Contact No : 9845084657, 080, 41237258,",Contact Person : manoj malpani
DELHI PUINJAB ROADLINES,"sy. no.469/3- c.n. murthy bldg. tumkur road lst stage peenya main road banglore , bangalore","Contact No : 9845215544, 41178815, 41178818,",Contact Person : t. venkatesh
ABLE CARE ENGINEERING SOLUTION SERVICE,"no-7- 1st floor- 6th cross- mathru layout- gkvk post- yelahanka- banglore , bangalore","Contact No : 9742439797, ,",Contact Person : mr ravindranath
SUNRISE CARGO MOVERS,"nh-7- hosur bengaluru maind road attlbele , bangalore","Contact No : 9964610665, 27821976,",Contact Person : k.nazeer ahmed
N.R.L. PACKER & MOVERS,"41-hn-4- 18th km. tumkur road tci bus stop opp. pps- madanayakanahalli , bangalore","Contact No : 8088833339, 23712719,",Contact Person : subhas singh
MANAVI PACKERS & MOVERS,"47- lst floor lst cross kalsipalyam new extn. , bangalore","Contact No : 9844036676, 32944005,",Contact Person : harish tanwar
TOTAL STRATEGIC SOLUTIONS INDIA PVT. LTD.,"no. 43- annexe road h.a.l. ii stage� leela palace�kodihalli- bangalore , bangalore","Contact No : 9972039804, ,",Contact Person : NULL
SAHARA TRANS PACKERS & MOVERS PVT.LTD.,"16- 6th cross - h. siddaiah road opp. srmt transport bangalore , bangalore","Contact No : 9972472954, 65344499, 41266993,",Contact Person : m.s. ethender
ARYAN PACKERS MOVERS (REGD.),"plot no.b-163-llnd floor 3rd main dduttl ind. subrubh yeshwanthpur , bangalore","Contact No : 9343586600, 080, 32496600,",Contact Person : devi singh
POOJA PACKERS & MOVERS,"b-163- lst floor 3rd main dduttl industrial suburb , bangalore","Contact No : 9342777288, 32922430, 23470794,",Contact Person : NULL
GREEN INDIA PACKERS & MOVERS,"no.32- 2nd floor lalbag road k.s. garden 4th cross bng. , bangalore","Contact No : 9141653001, 32963001,",Contact Person : sunil kumar
VINIT PACKERS & MOVERS,"b-55- dduttl 2nd stage ind. suburb yeshwanthpur , bangalore","Contact No : 9900415353, 32914513, 412282353,",Contact Person : sukhveer sangwan
DECCAN MOTOR SERVICE,"50-� khazi street basavanagudi- bangalore -560004 , bangalore","Contact No : , 080 , 26576982, 080 , 41205554,",Contact Person : akram
B B C INDIA,"d-101- dduttl. 2nd stage idustrial suburb yeshwanthpur , bangalore","Contact No : 9449151437, 080, 23378713,",Contact Person : uday kumar
A.K.R. PARCEL SERVICE PVT. LTD.,"50/a- new timber yard layout- mysore road- g.e.f layout�g.e.f.- bangalore -560026 , bangalore","Contact No : , 080 , 26747095,",Contact Person : NULL
DHELIVERY,"137-9th cross-binnamangala 1st stage-near insurance metro station , bangalore","Contact No : 7338468408, 7411338188, 7338468488",Contact Person : tanveer pasha
XING RELOCATION,"c-112- dduttl ind- suburb yeshwanthpur , bangalore","Contact No : 9341848494, 080, 32558494,",Contact Person : NULL
CITY LOCAL PACKERS & MOVERS,"bangalore , bangalore","Contact No : 9448205439, ,",Contact Person : NULL
SAFE & EXPRESS PACKER & MOVERS,"bangalore , bangalore","Contact No : 9886171987, 22235277,",Contact Person :
CPC PARCEL SERVICE,"no. 4� siddappa building� - 1st stage�peenya s.i.- bangalore -560058 , bangalore","Contact No : 9980554680, 080 , 28395083,",Contact Person : dhanpal
AQUA PACKERS AND MOVERS PVT.LTD.,"30/8- s.j. tower 4th floor mission road banglore , bangalore","Contact No : 9845799605, 22222371. 22483831,",Contact Person : NULL
TRANS FREIGHT LOGISTICS BANGALORE,"no. 58 anchepalya nagasandra post tumkur road bangalore 560073 near state bank of india , bangalore","Contact No : 8884100740, 8861611425, 8861611425",Contact Person : ajeet kumar
CHOUDHARY CARGO MOVERS,"36-37- adakamarnahalli village dasanpura hobli market post- behind himalya drug company , bangalore","Contact No : 9739180561, ,",Contact Person : mange ram
BSL PACKERS & MOVERS,"bangalore , bangalore","Contact No : 9019182268, 41163248,",Contact Person : NULL
RAJ CARGO MOVERS,"h.o. 21/2- harish compound madanayakanahalli madvara post tumkur road , bangalore","Contact No : 9844259927, ,",Contact Person : narender babu
DHARANI TRANSPORTS,"shri sharadha samaja building� - 1st main road gavipuram extension- bangalore -560019 , bangalore","Contact No : 9448543279, 080 , 26679820, 080 , 26604035,",Contact Person : raju
SUPREME TRANSPORT SOLUCTION PVT.LTD.,"12- anish nivash 5th cross sudhama nagar , bangalore","Contact No : 9341006656, 32210016, 41534197,",Contact Person : abhay singh
LINK PACKER & MOVERS,"bangalore , bangalore","Contact No : , 26591639,",Contact Person : NULL
RAJARAJESHWARI CRANE SERVICE,"no. 5� mahi nilaya�rajaji nagar 6th block- bangalore -560010 , bangalore","Contact No : 9448364019, ,",Contact Person : NULL
A ONE INDUSTRIAL PACKERS AND MOVERS,"2nd cross bairappa layout- govindapura�nagavara- bangalore -560045 , bangalore","Contact No : , 080 , 25445823,",Contact Person : NULL
OMDEV PACKERS & MOVERS,"bangalore , bangalore","Contact No : 9353053535, 32403580,",Contact Person : NULL
JAI SAIRAM TRANSPORT CO.,"d-101- dduttl. 2nd stage idustrial suburb yeshwanthpur , bangalore","Contact No : 9341604603, 080, 41604603,",Contact Person : m.k.tiwari
J.J GOLDEN TRANSPORT CO.,"d-102- dduttl 2nd stage yeswanthpur , bangalore","Contact No : 9342139114, 080, 233708011,",Contact Person : j.s. chouhan
SACHDEVA ROADLINES PVT LTD,"no.24/2- j.c.road ist cross- behind poornima theatre. , bangalore","Contact No : 9035197496, 8376808371, 08041142178, 0129, 4183700, 4183799,",Contact Person : rakesh manchanda
PLAN PACKER & MOVERS,"no-5- 5th cross kalsipalyam new extn. , bangalore","Contact No : 9538975741, 22222342,",Contact Person : ashok
SHARMA PACKERS & MOVERS (REGD.),"sharma mansion b-6 devraj urs terminal yeshwanthpur , bangalore","Contact No : 9916103157, 22130456,",Contact Person : r.s. sharma
AXA GROUP SOLUTIONS,"2nd floor- n-1- 29th main- btm 1st stage- bengaluru - 560068- karnataka , bangalore","Contact No : 9986612861, ,",Contact Person : mr. deepak reja
SAHARA DOMESTICS & INTERNATIONAL PACKER & MOVER PVT.LTD.,"sahara house 15th. 8th cross. h. siddaiah road , bangalore","Contact No : , 41145912,",Contact Person : NULL
SZ OVERSEAS,"door no-44- 3rd cross- 9th main- b.t.m. layout- 1st stage- bengaluru - 560029- karnataka , bangalore","Contact No : 9845093279, 080, 2678278,",Contact Person : mr. syed zabiulla
TIME TOUCH CARGO,"2 & 4- 2nd main sri muneswara building kalasipalyam new extn. , bangalore","Contact No : 9845152067, 41324688,",Contact Person : NULL
DEVPUNJ HOME RELOCATIONS,"puttanhali circale near munivenkatappa farm 7th phase- j.p. nagar , bangalore","Contact No : 9483540011, 26631436,",Contact Person : NULL
RAM DEV CARGO CARRIERS,"46-� m.m. lane- nagarathpet�bangalore city h.o- bangalore -560002 , bangalore","Contact No : , 080 , 41324523,",Contact Person : bharath sanghvi
A.N.Z. PACKERS & MOVERS,"2948- 6th cross 19th main hal 2nd stage off airport road indra nagar , bangalore","Contact No : 9845292729, 25214488, 25216019,",Contact Person : NULL
INDUSTRIAL CRANES,"87/3- whitefield road- opp. iti ancillary estate- mahadevapura post- bengaluru - 560048- karnataka , bangalore","Contact No : 9945141110, 80, 28532080,",Contact Person : mr. waseem baig
1ST SHIVAM CARGO PACKERS & MOVERS,"no. 18- 1st floor� hsr layout- rajiv gandhi nagar�bommanahalli- bangalore -560068 , bangalore","Contact No : , 080 , 32477134,",Contact Person : rajbir singh
CCI RELOCATOR,"1-2- madhu complex ccl center , bangalore","Contact No : 9342887988, 65521188,",Contact Person : suryakanth
CHAHAT CARGO MOVERS,"chetan house adakimranahalli dassapura hobali market , bangalore","Contact No : 9343826291, ,",Contact Person : kalod kumar
24X7 WORLDWIDE LOGISTICS,"no. 104/4 chinnappa building - basava samithi layout vidyaranyapura- bangalore , bangalore","Contact No : 9535150930, 9886523399, ,",Contact Person : mr. prakash
SRI GANESH TRANSPORT,"no.47 lst floor singasandra near e-city garden resturant hosur main road banglore , bangalore","Contact No : 9342533685, 25744777, 25744888, 25744999, 9783855500",Contact Person : hitler
CLASSIC CLEARING AND FORWARDING PVT. LTD.,"sri sai no.8- 3rd floor- 60 feet road- g block- sahakar nagar- bangalore , bangalore","Contact No : 8025238859, 080, 25238859,",Contact Person : NULL
ARYIKA LOGISTIC PVT. LTD.,"dudeja pest meena kanti house bangalore g.p.o.- bangalore , bangalore","Contact No : 9341138378, 9341138378, ,",Contact Person : mr. kundan kumar
E-CENTRIC CONSULTANCY SERVICES PVT. LTD.,"no. 1/1- g.d street- r.v road- lalbagh west gate- bengaluru - 560004- karnataka , bangalore","Contact No : , 80, 40903768,",Contact Person : mr. jermo
PRASANNA VENKATA RAMANA AUTO CONSULTANT,"no. 3/3c- 2nd x� gopalapuram magadi road- bangalore -560023 , bangalore","Contact No : 9980124157, ,",Contact Person : lakshmi narayan shetty
BLUE DART DHL EXPRESS INDIA PVT. LTD.,"no. 4/2 samrah plaza st. marks road- bangalore , bangalore","Contact No : 8553442274, ,",Contact Person : NULL
SRI VALLI SHIPPING & TRANSPORT,"krishna krupa-2nd main-chawvaswari layout marathahalli- bangalore , bangalore","Contact No : 9845047843, 080, 40976714,",Contact Person : NULL
RESOURCE LOGISTICS,"shop no - b - 18- 1st cross- d. devaraj truck terminal- opposite kanteerva studio- yeswantpur- bengaluru - 560022- karnataka , bangalore","Contact No : 9341741722, ,",Contact Person : mr. vijay kumar verma
SOUTH INDIA ROADWAYS (REGD.),"106/1. kengari mysore road bangalore , bangalore","Contact No : 9972596902, 28483994, 26678074,",Contact Person : r. pandhari
SAFE INDIA PACKERS & MOVERS,"32- 4th cross lst floor k.s. garden , bangalore","Contact No : 9980919300, 22131543,",Contact Person : krishna sharma
NSM ROADWAYS,"14. a. block. 5th main road 60ft road aecs layout behind dakshina honda showroom opp. sindhu cargo singsadra post housar , bangalore","Contact No : 9035173625, ,",Contact Person : r.selvaraju (mcs)
BHIJLING TRANSPORT CO.,"d-50- lst floor dduttl kanterwa studio road yeshwanthpur ind. area , bangalore","Contact No : 9845805771, 41227271, 41535404, 32927857,",Contact Person : kishor mane
VANDANA ROAD CARRIERS(MUMBAI),"31- 2nd floor swamy complex 19th k.m. tumkur road madanayakanahalli , bangalore","Contact No : 8880509294, ,",Contact Person : subhash agarwal
ASSOCIATED ROADWAYS PVT.LTD.,"b-191- lst floor devraj urs truck terminal 2nd stage industrial suburb opp. kanterwa studio yeshwanthpur , bangalore","Contact No : 9972702251, 080, 41744785,",Contact Person : m. vijay kumar
CITIZEN AUTO CONSULTANTS,"no. 221� kalasipalayam- bangalore -560002 , bangalore","Contact No : 9343765454, ,",Contact Person : lala
JAI MATHA DI CARRIERS,"no. 10/32� dduttl industrial suburb�yeswanthpur- bangalore -560022 , bangalore","Contact No : , 080 , 23474051,",Contact Person : dheeraj kumar
A-1- SUPER EXPRESS PACKER & MOVERS,"bangalore , bangalore","Contact No : 9845749500, 22278076,",Contact Person : NULL
SAHARA INDIA ROADLINES,"18- sawamy complex 1st floor 19th km. tumkur road madanayakanahalli banglore , bangalore","Contact No : 9342528260, 23712019, 32947846,",Contact Person : sushil gupta
CARGO FREIGHT MOVERS PVT LTD,"205- money chamber- 06- k.h. road , bangalore","Contact No : 9343030060, 32454545,",Contact Person : ashok kanodia
UNITED TRANSPORT CORPORATION,"14- 3rd cross road- nandiviewex- servicemen colony- dinnur main raod- rt nagar- bengaluru - 560032 karnataka , bangalore","Contact No : , 080, 23336818, 9900604013",Contact Person : mr. syed karimuddin
JBM COMPANY,"building no. 5- oss park- tkm- bidadi industrial area- ramanagaram- bengaluru - 560039- karnataka , bangalore","Contact No : 9986686564, ,",Contact Person : mr. veeresh k s
MAX PACKERS & MOVERS,"bangalore , bangalore","Contact No : 9900180161, ,",Contact Person : NULL
ATL INDIA LOGISTICS,"1st floor- chandru building- 24th km. tumkur road- n.h. - 4- near nelamangala rural police station- arashinakunte- nelamangala- , bangalore","Contact No : 9341463896, 08027728896,",Contact Person : prabhu ray
HARYANA BANGALORE ROADWAYS,"117/3- dhaniji palya village opp. reliance petrol pump , bangalore","Contact No : 9901129873, 27101473, 27101573,",Contact Person : rukmuddin
AS TRANSPORT PVT. LTD.,"no. 41/1� raja ram mansion� - mavalli tank bund road�kalasipalayam- bangalore -560002 , bangalore","Contact No : 9945037556, 080 , 26703485, 080 , 26708002,",Contact Person : s.m. srinivas
J.J. FREIGHT CARRIERS,"13/5-3- a.m. road kalasipalyam new extn. , bangalore","Contact No : 9343644993, 080, 26704918,",Contact Person : ajit singh
INDIA GARAGE,"no. 48� tumkur road- dduttl industrial suburb yeswanthpur- bangalore -560022 , bangalore","Contact No : 9845119497, ,",Contact Person : gowda
ADVANCED RELOCATORS,"97- 1st floor-� dduttl kantirava studio- main road yeswanthpur- bangalore -560022 , bangalore","Contact No : , ,",Contact Person : deepak
HOUSE PACKERS & MOVERS,"16/3- dduttl industrial suburb 2nd stage opp. kanteva studio yeshwanthpur , bangalore","Contact No : 9535351945, ,",Contact Person : asif
IDEA PACKER & MOVERS,"26/1- 2nd main sudhana nagar near double road opp. bmtc bus terminal shanit nagar , bangalore","Contact No : 9945061559, 30582133, 2217544,",Contact Person : d.k. yadav
HAPPY PACKERS AND MOVERS PVT LTD,"28 3rd cross near raja ram layout k.chandra near canara bank kalkere horamavu post bangalore 560043 , bangalore","Contact No : 9972399421, , 9972399421",Contact Person : ummed singh
PROFESSION PACKER & MOVERS,"b-43- lst floor & 2nd main dduttl- yeshwanthpur bangalore , bangalore","Contact No : 9886250346, 221220225, 41227222, 32960018,",Contact Person : ratana lal
MAA SHARDA ROADWAYS,"46-47- 2nd main 2nd cross kalsipalyam new extn. , bangalore","Contact No : 9341242481, 32938074, 9341242481",Contact Person : c.m.pandy
SLV INTERNATIONAL PACKER & MOVERS,"16/3- dduttl industrial suburb 2nd stage opp. kanteva studio yeshwanthpur , bangalore","Contact No : 9845779593, 32214267,",Contact Person : r.kumar
SAI RELOCATIONS,"12/29. pep- bhawan 2nd floor 4th cross h. siddaiah road bangalore , bangalore","Contact No : 9342626566, 22115293,",Contact Person : srinivasa reddy
AYAAN INTERNATIONAL PACKERS & MOVERS REGD.,"9th cross� nanganthpura layout hosur road- bangalore -560100 , bangalore","Contact No : 7411213890, ,",Contact Person : ramesh kumar
